Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label
TXN_28521,USER_6723,129.21,POS,2023-10-15 03:23:00,66460.98,Tablet,London,Electronics,0,0,6,414.36,1,Mastercard,199,436.85,PIN,0.2814,0,0
TXN_45679,USER_5583,34.87,Bank Transfer,2023-03-06 07:19:00,89398.22,Mobile,Mumbai,Groceries,0,1,13,493.15,2,Discover,40,2963.27,PIN,0.7432,1,0
TXN_33494,USER_3751,3.24,POS,2023-04-29 01:39:00,94855.45,Laptop,Sydney,Travel,0,0,1,371.71,2,Mastercard,193,856.96,OTP,0.388,1,0
TXN_37673,USER_1149,40.6,Bank Transfer,2023-05-13 15:43:00,37034.26,Laptop,Sydney,Electronics,0,0,5,369.88,3,Amex,34,4496.21,Password,0.3059,0,0
TXN_11486,USER_2659,97.22,POS,2023-02-25 00:41:00,72702.0,Laptop,New York,Groceries,0,0,13,244.56,3,Amex,239,4847.68,Password,0.1656,0,0
TXN_5887,USER_5378,186.53,Online,2023-09-02 01:54:00,74087.38,Tablet,Sydney,Restaurants,0,0,8,51.36,4,Visa,191,3403.85,OTP,0.8422,1,1
TXN_17917,USER_7881,60.45,Bank Transfer,2023-11-09 13:45:00,5015.01,Mobile,New York,Clothing,0,0,1,140.13,4,Visa,88,1493.21,Password,0.1938,1,1
TXN_1517,USER_1158,30.46,Online,2023-10-29 07:42:00,17413.86,Tablet,London,Electronics,0,1,3,293.78,2,Visa,185,3700.83,Password,0.7844,0,0
TXN_10297,USER_9625,110.74,ATM Withdrawal,2023-02-04 05:40:00,95569.22,Laptop,Sydney,Groceries,0,0,1,296.45,0,Amex,4,3373.82,Biometric,0.7299,0,0
TXN_11971,USER_7541,6.5,Bank Transfer,2023-02-21 03:23:00,99561.12,Tablet,New York,Electronics,0,0,14,411.78,2,Visa,152,2664.89,Biometric,0.2501,0,0
TXN_14538,USER_2254,63.75,POS,2023-12-08 01:15:00,1906.55,Tablet,New York,Groceries,0,0,4,477.43,4,Mastercard,14,4693.61,Biometric,0.2199,0,1
TXN_7177,USER_1325,74.15,POS,2023-06-06 23:18:00,9997.66,Mobile,New York,Clothing,0,0,10,62.22,2,Mastercard,142,853.13,OTP,0.2229,0,0
TXN_2380,USER_6779,49.46,Bank Transfer,2023-12-03 22:03:00,74383.87,Tablet,Mumbai,Clothing,0,0,14,455.93,3,Discover,183,2187.08,Password,0.2764,0,0
