Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label
TXN_7928,USER_1986,45.78,Bank Transfer,2023-05-10 04:33:00,50958.3,Tablet,London,Travel,0,0,13,279.56,2,Discover,139,857.93,PIN,0.1806,1,0
TXN_2107,USER_6110,16.29,Bank Transfer,2023-08-21 22:19:00,13477.28,Laptop,Mumbai,Clothing,0,0,11,369.03,2,Visa,108,1949.33,Biometric,0.9628,0,1
TXN_30363,USER_2456,174.39,ATM Withdrawal,2023-06-28 03:44:00,41619.15,Mobile,Mumbai,Restaurants,0,0,12,372.44,2,Visa,132,3896.34,Biometric,0.5565,1,0
TXN_31262,USER_4293,23.44,Online,2023-11-09 23:30:00,26566.79,Mobile,New York,Groceries,1,0,12,385.11,1,Amex,185,2900.25,PIN,0.618,0,0
TXN_42135,USER_8978,39.69,Bank Transfer,2023-04-03 03:05:00,11452.73,Laptop,Sydney,Electronics,0,0,14,326.8,0,Amex,8,4809.03,PIN,0.3968,1,0
TXN_38216,USER_2620,30.88,Online,2023-05-17 04:32:00,91645.16,Laptop,Tokyo,Travel,0,0,8,120.79,2,Mastercard,29,1645.47,PIN,0.6713,0,0
TXN_19465,USER_3021,31.57,POS,2023-12-31 07:44:00,57308.65,Laptop,Mumbai,Travel,0,0,4,239.52,0,Mastercard,198,2112.83,PIN,0.546,1,0
TXN_47451,USER_1369,122.34,Bank Transfer,2023-10-02 20:16:00,65609.54,Mobile,Tokyo,Restaurants,0,0,2,322.73,0,Amex,136,4763.27,Biometric,0.2573,1,0
TXN_30624,USER_8098,44.1,Bank Transfer,2023-11-06 13:01:00,32461.88,Tablet,Tokyo,Travel,0,0,4,93.41,4,Amex,8,132.53,OTP,0.2086,0,1
TXN_10447,USER_8140,42.39,Bank Transfer,2023-10-16 07:02:00,28747.11,Laptop,Tokyo,Restaurants,0,0,4,113.13,0,Discover,83,4193.43,OTP,0.4032,0,0
TXN_12561,USER_3059,100.18,Bank Transfer,2023-01-16 14:32:00,28615.76,Laptop,Sydney,Travel,0,0,12,240.73,2,Amex,111,2462.16,PIN,0.854,1,1
TXN_15863,USER_7161,33.15,POS,2023-09-25 23:58:00,97621.81,Mobile,New York,Restaurants,0,0,1,330.25,3,Discover,64,3048.77,Password,0.5072,1,0
TXN_13936,USER_8108,109.54,ATM Withdrawal,2023-06-04 03:06:00,2128.58,Tablet,Tokyo,Travel,0,0,11,67.22,4,Mastercard,130,1720.61,Biometric,0.2748,1,1
TXN_7939,USER_4081,111.02,POS,2023-07-02 18:42:00,63420.13,Tablet,Sydney,Restaurants,0,0,12,267.71,2,Mastercard,133,1852.74,Biometric,0.6085,0,0
TXN_16105,USER_7073,54.07,POS,2023-09-12 13:38:00,62877.82,Tablet,London,Clothing,1,0,11,444.6,2,Discover,166,4856.31,PIN,0.2714,0,0
TXN_44150,USER_1589,148.6,Online,2023-12-22 03:41:00,90729.08,Laptop,Sydney,Clothing,0,0,13,282.51,1,Mastercard,215,1695.99,OTP,0.9952,0,1
TXN_19797,USER_9736,75.95,ATM Withdrawal,2023-05-28 02:48:00,91051.38,Laptop,Mumbai,Electronics,0,0,13,33.56,0,Amex,58,4207.93,Password,0.9696,0,1
TXN_40119,USER_3531,109.36,Online,2023-07-13 05:34:00,32993.11,Tablet,London,Clothing,0,0,3,54.14,1,Mastercard,15,1586.94,Biometric,0.389,1,0
TXN_42887,USER_9794,100.86,Bank Transfer,2023-02-14 11:31:00,15792.21,Mobile,Mumbai,Clothing,0,0,2,105.93,4,Discover,38,4177.29,PIN,0.4993,0,1
TXN_17290,USER_1132,26.63,Bank Transfer,2023-12-07 18:19:00,20623.06,Mobile,Mumbai,Clothing,0,0,1,307.21,0,Visa,209,741.59,OTP,0.3933,1,0
TXN_46187,USER_3861,9.08,Bank Transfer,2023-01-23 15:44:00,69710.05,Tablet,Mumbai,Clothing,0,0,3,257.33,3,Mastercard,98,1499.24,PIN,0.5166,1,0
TXN_760,USER_9258,30.54,POS,2023-10-10 22:13:00,97708.88,Mobile,Sydney,Travel,0,0,13,474.64,0,Amex,110,2348.62,Password,0.1168,0,0
TXN_19502,USER_7550,64.45,POS,2023-02-08 14:06:00,10011.86,Laptop,Mumbai,Electronics,0,1,2,173.42,3,Mastercard,162,3019.93,PIN,0.3182,0,0
TXN_33754,USER_8313,40.51,POS,2023-12-16 17:30:00,55729.65,Mobile,New York,Restaurants,0,0,6,476.69,2,Amex,50,4860.04,Password,0.4279,0,0
TXN_26867,USER_1427,38.57,Online,2023-07-28 01:27:00,88508.98,Mobile,New York,Travel,0,0,2,158.21,1,Mastercard,28,3961.41,Biometric,0.0058,0,0
TXN_33092,USER_1452,11.25,Bank Transfer,2023-12-16 10:21:00,24063.62,Tablet,Sydney,Groceries,0,0,10,388.42,4,Amex,213,1062.79,Password,0.8383,0,1
TXN_30563,USER_3477,74.83,Bank Transfer,2023-02-08 20:29:00,61278.66,Mobile,Mumbai,Restaurants,0,0,2,194.27,0,Amex,48,2409.82,Biometric,0.2239,0,0
